word;JR;ER;AB;measure;genre;type;status
notre;unexpected;expected;expected;LLR;blanche;interpretability;expected
pélagie;unexpected;expected;expected;LLR;blanche;interpretability;expected
khan;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
écrire;expected;expected;expected;LLR;blanche;interpretability;expected
leur;unexpected;expected;unexpected;LLR;blanche;interpretability;unexpected
mais;unexpected;unexpected;unexpected;LLR;blanche;interpretability;unexpected
vaisseau;unexpected;expected;expected;LLR;blanche;interpretability;expected
daquin;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
où;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
david;unexpected;expected;expected;LLR;blanche;interpretability;expected
vous;n/o;narrative form;narrative form;LLR;blanche;category;narrative form
mon;n/o;narrative form;narrative form;LLR;blanche;category;narrative form
on;n/o;narrative form;narrative form;LLR;blanche;category;narrative form
tu;n/o;narrative form;narrative form;LLR;blanche;category;narrative form
marie;n/o;main character;main character;LLR;blanche;category;main character
me;n/o;narrative form;narrative form;LLR;blanche;category;narrative form
rhada;n/o;n/o;main character;LLR;blanche;category;n/o
le;n/o;n/o;n/o;LLR;blanche;category;n/o
lui;n/o;narrative form;n/o;LLR;blanche;category;n/o
se;n/o;n/o;n/o;LLR;blanche;category;n/o
de;n/o;n/o;n/o;LLR;blanche;category;n/o
mr;n/o;n/o;n/o;LLR;blanche;category;n/o
antoine;n/o;main character;main character;LLR;blanche;category;main character
qui;n/o;n/o;narrative form;LLR;blanche;category;n/o
lalla;n/o;n/o;main character;LLR;blanche;category;n/o
il;n/o;n/o;narrative form;LLR;blanche;category;n/o
isambour;n/o;n/o;main character;LLR;blanche;category;n/o
pas;n/o;n/o;n/o;LLR;blanche;category;n/o
comme;n/o;n/o;narrative structure;LLR;blanche;category;n/o
avoir;n/o;thematic concept;thematic concept;LLR;blanche;category;thematic concept
paris;space;space;space;LLR;blanche;category;space
ludo;n/o;n/o;main character;LLR;blanche;category;n/o
djafar;n/o;n/o;main character;LLR;blanche;category;n/o
prisko;n/o;n/o;n/o;LLR;blanche;category;n/o
votre;n/o;narrative form;narrative form;LLR;blanche;category;narrative form
mère;thematic concept;main character;main character;LLR;blanche;category;main character
camier;n/o;n/o;n/o;LLR;blanche;category;n/o
français;thematic concept;main character;thematic concept;LLR;blanche;category;thematic concept
jour;thematic concept;space;space;LLR;blanche;category;space
te;n/o;narrative form;narrative form;LLR;blanche;category;narrative form
madeleine;n/o;main character;narrative structure;LLR;blanche;category;check
pouvoir;n/o;thematic concept;thematic concept;LLR;blanche;category;thematic concept
par;n/o;n/o;n/o;LLR;blanche;category;n/o
mercier;n/o;n/o;main character;LLR;blanche;category;n/o
planète;n/o;n/o;narrative structure;LLR;blanche;category;n/o
france;thematic concept;space;thematic concept;LLR;blanche;category;thematic concept
saint;thematic concept;thematic concept;narrative structure;LLR;blanche;category;thematic concept
vito;n/o;n/o;n/o;LLR;blanche;category;n/o
demander;n/o;language pattern;narrative form;LLR;blanche;category;check
fintan;n/o;n/o;n/o;LLR;blanche;category;n/o
notre;n/o;narrative form;narrative form;LLR;blanche;category;narrative form
pélagie;n/o;main character;tonality;LLR;blanche;category;check
khan;n/o;n/o;main character;LLR;blanche;category;n/o
écrire;thematic concept;thematic concept;narrative form;LLR;blanche;category;thematic concept
leur;n/o;narrative form;n/o;LLR;blanche;category;n/o
mais;n/o;n/o;n/o;LLR;blanche;category;n/o
vaisseau;n/o;space;narrative structure;LLR;blanche;category;check
daquin;n/o;n/o;main character;LLR;blanche;category;n/o
où;n/o;n/o;space;LLR;blanche;category;n/o
david;n/o;main character;main character;LLR;blanche;category;main character
paris;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
français;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
saint;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
france;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
écrire;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
guerre;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
hiver;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
été;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
cheval;unexpected;unexpected;expected;zeta_sd2;blanche;interpretability;unexpected
marie;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
parfois;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
fleur;unexpected;unexpected;expected;zeta_sd2;blanche;interpretability;unexpected
fils;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
roi;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
printemps;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
enfance;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
soldat;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
église;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
cour;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
pays;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
mer;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
soi;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
mère;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
allemand;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
souvent;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
croix;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
oiseau;unexpected;unexpected;expected;zeta_sd2;blanche;interpretability;unexpected
ventre;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
chacun;unexpected;unexpected;expected;zeta_sd2;blanche;interpretability;unexpected
rue;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
malheur;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
fête;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
lendemain;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
bonheur;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
anglais;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
dimanche;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
âge;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
gare;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
famille;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
livre;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
jeunesse;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
campagne;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
fer;expected;unexpected;expected;zeta_sd2;blanche;interpretability;expected
parmi;unexpected;unexpected;expected;zeta_sd2;blanche;interpretability;unexpected
chanter;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
rose;unexpected;unexpected;expected;zeta_sd2;blanche;interpretability;unexpected
saison;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
musique;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
manger;unexpected;expected;expected;zeta_sd2;blanche;interpretability;expected
enfant;expected;expected;expected;zeta_sd2;blanche;interpretability;expected
paris;space;space;space;zeta_sd2;blanche;category;space
français;thematic concept;space;thematic concept;zeta_sd2;blanche;category;thematic concept
saint;thematic concept;thematic concept;narrative structure;zeta_sd2;blanche;category;thematic concept
france;thematic concept;space;thematic concept;zeta_sd2;blanche;category;thematic concept
écrire;thematic concept;thematic concept;narrative forms;zeta_sd2;blanche;category;thematic concept
guerre;thematic concept;thematic concept;thematic concept;zeta_sd2;blanche;category;thematic concept
hiver;n/o;space;space;zeta_sd2;blanche;category;space
été;n/o;space;space;zeta_sd2;blanche;category;space
cheval;n/o;n/o;narrative structure;zeta_sd2;blanche;category;n/o
marie;n/o;main character;main character;zeta_sd2;blanche;category;main character
parfois;thematic concept;thematic concept;narrative forms;zeta_sd2;blanche;category;thematic concept
fleur;n/o;n/o;narrative structure;zeta_sd2;blanche;category;n/o
fils;thematic concept;main character;main character;zeta_sd2;blanche;category;main character
roi;n/o;thematic concept;main character;zeta_sd2;blanche;category;check
printemps;n/o;space;space;zeta_sd2;blanche;category;space
enfance;thematic concept;thematic concept;thematic concept;zeta_sd2;blanche;category;thematic concept
soldat;thematic concept;thematic concept;main character;zeta_sd2;blanche;category;thematic concept
église;thematic concept;space;space;zeta_sd2;blanche;category;space
cour;n/o;space;space;zeta_sd2;blanche;category;space
pays;n/o;space;space;zeta_sd2;blanche;category;space
mer;n/o;space;space;zeta_sd2;blanche;category;space
soi;n/o;thematic concept;narrative forms;zeta_sd2;blanche;category;check
mère;thematic concept;main character;main character;zeta_sd2;blanche;category;main character
allemand;thematic concept;main character;thematic concept;zeta_sd2;blanche;category;thematic concept
souvent;thematic concept;thematic concept;narrative forms;zeta_sd2;blanche;category;thematic concept
croix;thematic concept;thematic concept;narrative structure;zeta_sd2;blanche;category;thematic concept
oiseau;n/o;n/o;narrative structure;zeta_sd2;blanche;category;n/o
ventre;n/o;thematic concept;narrative structure;zeta_sd2;blanche;category;check
chacun;n/o;n/o;thematic concept;zeta_sd2;blanche;category;n/o
rue;space;space;space;zeta_sd2;blanche;category;space
malheur;main character;thematic concept;thematic concept;zeta_sd2;blanche;category;thematic concept
fête;n/o;thematic concept;narrative structure;zeta_sd2;blanche;category;check
lendemain;thematic concept;thematic concept;narrative structure;zeta_sd2;blanche;category;thematic concept
bonheur;main character;thematic concept;thematic concept;zeta_sd2;blanche;category;thematic concept
anglais;n/o;main character;thematic concept;zeta_sd2;blanche;category;check
dimanche;n/o;thematic concept;space;zeta_sd2;blanche;category;check
âge;thematic concept;thematic concept;thematic concept;zeta_sd2;blanche;category;thematic concept
gare;space;space;space;zeta_sd2;blanche;category;space
famille;thematic concept;thematic concept;thematic concept;zeta_sd2;blanche;category;thematic concept
livre;thematic concept;thematic concept;narrative structure;zeta_sd2;blanche;category;thematic concept
jeunesse;thematic concept;thematic concept;thematic concept;zeta_sd2;blanche;category;thematic concept
campagne;space;space;space;zeta_sd2;blanche;category;space
fer;thematic concept;n/o;thematic concept;zeta_sd2;blanche;category;thematic concept
parmi;n/o;n/o;thematic concept;zeta_sd2;blanche;category;n/o
chanter;n/o;thematic concept;narrative structure;zeta_sd2;blanche;category;check
rose;n/o;n/o;narrative structure;zeta_sd2;blanche;category;n/o
saison;n/o;space;space;zeta_sd2;blanche;category;space
musique;n/o;language pattern;narrative structure;zeta_sd2;blanche;category;check
manger;n/o;thematic concept;narrative structure;zeta_sd2;blanche;category;check
enfant;thematic concept;thematic concept;main character;zeta_sd2;blanche;category;thematic concept
humain;expected;expected;expected;welsh;scifi;interpretability;expected
planète;expected;expected;expected;welsh;scifi;interpretability;expected
système;expected;expected;expected;welsh;scifi;interpretability;expected
sol;expected;expected;expected;welsh;scifi;interpretability;expected
utiliser;unexpected;expected;expected;welsh;scifi;interpretability;expected
atteindre;expected;expected;expected;welsh;scifi;interpretability;expected
un;unexpected;unexpected;unexpected;welsh;scifi;interpretability;unexpected
le;unexpected;unexpected;unexpected;welsh;scifi;interpretability;unexpected
espace;expected;expected;expected;welsh;scifi;interpretability;expected
surface;expected;expected;expected;welsh;scifi;interpretability;expected
forme;expected;expected;unexpected;welsh;scifi;interpretability;expected
écran;expected;expected;expected;welsh;scifi;interpretability;expected
centre;expected;expected;expected;welsh;scifi;interpretability;expected
leur;unexpected;expected;unexpected;welsh;scifi;interpretability;unexpected
émettre;expected;expected;expected;welsh;scifi;interpretability;expected
paroi;expected;expected;expected;welsh;scifi;interpretability;expected
vaisseau;expected;expected;expected;welsh;scifi;interpretability;expected
autre;expected;expected;expected;welsh;scifi;interpretability;expected
centaine;expected;expected;expected;welsh;scifi;interpretability;expected
former;unexpected;expected;expected;welsh;scifi;interpretability;expected
contrôle;expected;expected;expected;welsh;scifi;interpretability;expected
